source,object_id,orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,stellar_mass,transit_depth,equilibrium_temp,insolation,disposition
TESS,1078.01,0.5182425,0.8565249,1.3485121,3325.0,0.390989,,831.8920424,1019.3295979,255.1405815,CONFIRMED
TESS,1079.01,3.1644075,2.0576293,14.8814743,6519.0,1.7234,,5603.4635466,1747.9490013,2206.1550476,CANDIDATE
TESS,108.01,3.0440541,2.5984575,12.1086799,5523.0,0.809868,,22236.0165376,1075.3184542,315.9871326,CONFIRMED
TESS,1080.01,3.9652485,1.0112593,1.2305102,3296.0,0.199988,,3680.7544436,386.6684768,5.2829448,CANDIDATE
TESS,1081.01,2.98278,3.109528,11.467011,6027.0,1.23975,,6136.231662,,,CANDIDATE
TESS,1082.01,16.3469053,3.5865698,3.5059571,4310.0,0.649613,,2212.4257252,441.7489067,8.9995944,CANDIDATE
TESS,1083.01,12.9802953,2.5034417,2.4241912,3614.0,0.491323,,2407.2608671,376.2093904,4.7341229,CANDIDATE
TESS,1084.01,1.3484961,2.4074261,15.8824638,6346.0,1.14759,,18463.7636682,1839.6713042,2706.9606225,CONFIRMED
TESS,1085.01,3.2541181,4.341,14.9476,6102.0,1.28,,13620.0,,1436.45,CANDIDATE
TESS,1086.01,3.7178828,5.5277827,14.6986197,5818.0,2.0840001,,4864.8405125,1689.4116185,1925.1426172,CANDIDATE
TESS,1087.01,9.30992,3.464,14.2968,6907.0,3.09,,2220.0,1067.0,215.208,FALSE_POSITIVE
TESS,1088.01,1.15395,2.236,5.48364,6093.0,1.4,,1550.0,2148.0,3534.3,FALSE_POSITIVE
TESS,109.01,2.76676,2.6872178,12.2867389,5346.0,0.984866,,14947.4387827,1209.5741229,505.8840075,CONFIRMED
TESS,1090.01,2.19296,4.586,22.7769,7009.8,2.95,,4933.74,3722.0,31883.5,FALSE_POSITIVE
TESS,1091.01,1.725841,3.674,15.0024,7348.0,2.39,,2710.0,4175.0,50469.2,CANDIDATE
TESS,1092.01,1.1923,3.119,30.666,6534.0,2.04,,3730.0,3958.0,40771.2,FALSE_POSITIVE
TESS,1094.01,0.5971314,0.468,9.08382,7710.0,2.28,,910.0,1760.0,1596.43,CANDIDATE
