orbital_period,transit_duration,planet_radius,stellar_temp,stellar_radius,transit_depth,disposition
11.1876137,3.183,31.8624,7266.0,2.05,4924.0,FALSE_POSITIVE
7.0643978,2.424,9.39131,5429.6,0.96,8268.0,CONFIRMED
8.9534775,2.696,2.35888,5029.5,0.76,1136.0,CONFIRMED
7.5022708,2.605,5.55812,6229.0,1.27,1760.0,FALSE_POSITIVE
14.0077666,5.8727493,12.4023108,6557.7,1.57435,5924.8349672,CANDIDATE
1.692892,2.886,11.2371,9121.5,2.1,1418.0,FALSE_POSITIVE
2.6652007,3.49,2.35964,4043.4,0.56,819.0,FALSE_POSITIVE
1.2615323,1.039,8.67407,4927.9,0.78,2841.0,CANDIDATE
6.0344667,1.89,4.44029,5586.0,1.05,1800.0,CONFIRMED
9.6867516,2.512,3.00336,4738.1,0.73,1669.0,CONFIRMED
2.1031647,5.059,16.7087,6122.0,1.93,7142.0,CONFIRMED
7.6416041,2.654,27.538,6496.7,2.05,6025.0,FALSE_POSITIVE
5.9294088,2.933,10.8101,5095.6,1.06,10226.0,FALSE_POSITIVE
5.7484439,1.76,2.35215,4534.0,0.69,1041.0,CONFIRMED
1.1967018,1.879,10.3239,5997.0,1.73,824.0,FALSE_POSITIVE
11.2464616,7.391,17.6677,6115.7,2.01,7576.0,FALSE_POSITIVE
2.5941968,0.861,4.47229,6389.0,1.4,907.0,CANDIDATE
5.5411114,2.467,2.04482,5332.0,0.82,633.0,CANDIDATE
10.6917268,3.002,1.79811,5332.0,0.82,535.0,CANDIDATE
3.6950015,4.515,14.1288,7106.7,1.63,7655.0,CANDIDATE
15.7335693,3.288,24.3218,6800.0,2.21,2540.0,FALSE_POSITIVE
45.9403293,3.768,28.3312,6479.3,1.28,14807.0,CANDIDATE
2.2219839,1.996,15.4416,7166.8,1.87,4394.0,FALSE_POSITIVE
2.3106428,1.294,8.76741,5339.9,0.99,6911.0,CONFIRMED
4.05135,2.4,14.2359,4974.4,3.85,1132.23,FALSE_POSITIVE
5.5376617,2.517,15.6557,6689.0,2.06,5390.0,CANDIDATE
4.5960377,4.744,16.2166,7649.0,2.12,5000.0,CANDIDATE
3.612771,4.142,19.3662,8324.0,1.71,11794.0,CONFIRMED
3.6714717,2.149,10.678,5618.0,1.54,4340.0,CONFIRMED
11.535076,8.555958,12.215808,5479.3,2.48771,2389.90616,CONFIRMED
0.8352406,1.043,6.4875,6105.0,1.24,2065.0,FALSE_POSITIVE
2.4919771,1.4338141,2.2187585,3948.0,0.482388,2093.9594201,CONFIRMED
25.5195307,6.6877451,2.9641461,5742.22,1.17321,558.3758637,CONFIRMED
1.3812115,2.7372191,2.2402361,6711.0,1.7756799,117.7553083,CANDIDATE
2.3922703,9.0053425,3.5905923,6090.0,4.1956,63.575141,CANDIDATE
0.831542,1.985538,1.881684,5824.0,1.1512,248.969585,FALSE_POSITIVE
2.6282553,2.0930597,0.9817044,6282.0,1.10743,75.2858004,CANDIDATE
3.4239436,1.9601023,1.7581475,5626.0,0.823019,443.6391381,CANDIDATE
10.983042,3.7478987,2.5070075,5626.0,0.823019,725.1724567,CANDIDATE
17.726449,3.4404719,2.261664,5626.0,0.823019,747.7725499,CANDIDATE
40.7199388,4.2436925,3.2352713,5914.0,1.55953,355.619391,CANDIDATE
14.7741056,5.504,15.3936,6053.0,1.23,15041.0,CANDIDATE
79.3739596,5.392,2.17454,5168.33,0.77,1227.0,FALSE_POSITIVE
18.1663644,2.464,2.80447,5572.9,1.14,624.0,CANDIDATE
105.5850893,11.6068811,2.5033335,5909.57,1.1142,462.9116325,CANDIDATE
27.2149622,3.7190483,8.3475973,6270.0,0.989667,4731.4046225,FALSE_POSITIVE
19.1807264,3.9621084,2.4311768,5262.4,0.937973,544.5602695,CANDIDATE
1.2124493,0.9984653,0.879419,3751.0,0.518,501.2911711,CANDIDATE
4.5541831,7.8146963,0.8887417,4280.0,0.635812,187.8286128,CANDIDATE
41.4856125,6.6899368,12.5121956,6354.0,3.4868701,959.7522291,CANDIDATE
13.7738265,2.9992376,1.8971927,5455.96,1.01825,338.2166234,CANDIDATE
1.9142544,3.256,2.04421,6734.0,1.59,248.0,CANDIDATE
5.0780325,1.2100353,2.6347763,3318.0,0.334125,5923.1283069,CONFIRMED
70.3607265,1.0325441,8.2807306,6308.0,2.0982201,1353.9678246,CANDIDATE
91.6827832,9.7504857,3.239855,5802.0,1.01814,713.2183569,CONFIRMED
10.1944993,2.2648785,2.7392825,6082.0,1.32661,317.3261147,CANDIDATE
14.64319,2.5483426,3.41248,6516.0,2.04178,242.7923919,FALSE_POSITIVE
4.1782656,1.675904,2.1023854,3442.0,0.404403,2537.6781602,CONFIRMED
17.9453645,3.0740072,3.3839124,3442.0,0.404403,5480.684864,CONFIRMED
13.896396,3.5885605,2.4586343,5522.87,0.888163,748.5332881,CANDIDATE
8.1213102,3.1040945,2.3157186,5522.87,0.888163,594.6443745,CANDIDATE
3.9287851,1.8165271,2.329279,5668.15,0.986943,485.9762569,CANDIDATE
27.3613778,4.0586418,6.4522449,3050.0,0.44128,20690.6684294,CONFIRMED
29.0497517,7.117,2.84674,8208.0,1.8,318.0,CONFIRMED
31.8132264,11.2567164,21.6314984,6028.84,1.98893,11479.375547,CANDIDATE
3.3088922,6.114,24.9862,6188.0,2.62,4736.0,CONFIRMED
25.0571312,7.5424225,3.2396838,5696.0,1.15281,533.486013,CONFIRMED
24.2454967,3.3725583,3.878568,3535.0,0.465271,6260.6703602,CONFIRMED
14.2545623,4.7250029,10.7048234,5739.0,1.09597,7899.6939555,CANDIDATE
14.1758947,3.7543827,2.6231641,5723.87,0.864173,907.1324529,CONFIRMED
19.5901578,4.002861,3.0026428,5723.87,0.864173,1182.6678641,CONFIRMED
6.2036219,3.01098,2.056748,5723.87,0.864173,548.9044399,CONFIRMED
3.79589,2.4602856,1.553135,5723.87,0.864173,317.5272928,CONFIRMED
2.2645386,3.8193701,5.1936764,3443.0,0.411471,15019.9420903,FALSE_POSITIVE
3.4447015,1.912,2.00495,3912.0,0.63,796.0,CONFIRMED
3.0300715,2.5466671,12.7529892,5242.82,0.857369,21794.6136956,CONFIRMED
12.72038,2.401,4.96046,6212.0,1.48,1070.0,CONFIRMED
6.238755,3.6178567,2.9728283,6212.0,1.47768,373.5681138,CONFIRMED
3.2947689,1.7483103,2.5248559,3853.0,0.62326,1324.0402774,CONFIRMED
0.7645807,1.07057,1.2407226,3853.0,0.62326,394.9832006,CONFIRMED
12.6396982,3.3830702,4.6025162,5217.0,0.789425,3292.6812864,CONFIRMED
1.8428078,1.449,21.2705,5080.0,4.09,1950.0,CANDIDATE
1.7208555,1.8346409,13.4646314,5832.83,1.33402,10014.2587401,CONFIRMED
4.7802597,1.4588658,7.6126429,5826.0,2.3387201,1015.4550043,CANDIDATE
0.3814849,0.565,2.0605,4255.0,0.71,570.0,CANDIDATE
4.6595169,0.9011821,2.1961507,3489.0,0.490729,1725.1706259,CANDIDATE
6.4002807,2.1559875,2.2730301,4599.0,0.720551,1026.6018729,CONFIRMED
4.8204512,1.756,2.36747,3692.0,0.52,1930.0,CANDIDATE
18.6548829,5.4431451,4.3869878,5141.0,0.876154,1495.4449473,CONFIRMED
4.3074513,2.3379196,3.2819879,5141.0,0.876154,1094.8419495,CONFIRMED
5.9041278,2.7678313,2.4489454,5141.0,0.876154,773.9266468,CONFIRMED
37.9251983,3.5345219,3.241643,5141.0,0.876154,1370.7888539,CONFIRMED
15.9234883,4.021,2.18203,5711.85,1.08,493.0,CONFIRMED
4.3601536,2.3408909,6.9564258,5227.0,0.874131,5592.2909183,CONFIRMED
13.0791581,2.97,3.25485,5453.0,1.0,1143.0,CONFIRMED
4.6517186,2.709,2.66889,5154.0,0.85,978.0,CONFIRMED
9.1549418,2.457,2.62011,5154.0,0.85,1101.0,CONFIRMED
19.9815709,2.724,2.54717,5154.0,0.85,909.0,CONFIRMED
1.4415044,0.9274524,3.8345209,6603.0,1.58365,547.3172736,FALSE_POSITIVE
5.9630544,2.951,10.0859,5273.0,0.94,11000.0,CANDIDATE
1.1219715,0.8226121,3.9968417,5780.0,0.624,3997.6445916,CANDIDATE
4.6756655,1.914,4.03134,5779.0,1.45,738.0,FALSE_POSITIVE
1.0180114,1.1353639,6.5875997,5451.0,1.0933,2618.9492168,CANDIDATE
10.288886,1.391,2.63881,5126.0,0.87,854.0,CONFIRMED
1.0332441,3.8017836,4.087988,2972.0,0.156193,26111.5081972,FALSE_POSITIVE
5.4526479,3.401,14.5502,6509.0,1.57,7750.0,CONFIRMED
10.2613397,4.855,3.60391,6124.0,1.49,726.0,CANDIDATE
3.4779776,2.5103489,12.5541925,4699.0,0.765001,27021.6932424,CONFIRMED
3.0354017,2.8809533,14.1334903,5751.0,1.07224,16196.2158157,CONFIRMED
3.1274634,1.9812695,2.5802896,4225.0,0.693431,1331.83693,CONFIRMED
7.4931613,1.9339295,2.7733674,4225.0,0.693431,1650.6470497,CONFIRMED
49.825166,3.8714976,3.8319135,4225.0,0.693431,2059.4069037,CONFIRMED
18.0574016,3.592177,3.8092663,5897.0,1.01,1198.0572128,CANDIDATE
20.8774413,3.562,2.16145,5396.0,0.9,771.0,CANDIDATE
1.0214555,1.252,1.46266,5098.0,0.82,319.0,CANDIDATE
2.7441672,1.418,7.84317,5040.0,0.97,5650.0,CANDIDATE
2.2047452,3.996,17.9781,6532.23,1.99,6872.0,CONFIRMED
10.8948421,2.0719394,2.4691414,3618.0,0.435666,3168.3853584,CONFIRMED
18.8016111,1.9093524,1.9112282,3618.0,0.435666,1686.7881033,CONFIRMED
6.7900981,6.0786576,9.7548481,6378.0,2.00068,2158.1733568,CONFIRMED
8.157721,3.788,9.31888,5091.2,0.9,10273.0,CONFIRMED
4.2529641,2.5733867,2.3483383,5591.0,0.848906,758.584999,CONFIRMED
9.2378703,2.535,2.22995,5591.0,0.85,660.0,CANDIDATE
3.7955178,2.0198135,10.3261619,3424.0,0.445372,52278.9940979,CONFIRMED
14.3034613,3.135,18.4949,5056.6,0.83,48840.0,FALSE_POSITIVE
6.1349783,5.661,13.1383,5828.7,2.05,3860.0,CONFIRMED
3.3159772,1.494,4.5947,4972.7,0.81,2770.0,CONFIRMED
4.6313014,1.435,9.34848,5736.0,1.07,4860.0,CONFIRMED
19.3203478,4.215,9.38964,4968.1,0.8,13910.0,CANDIDATE
11.3246821,5.9704136,4.2917226,5518.0,0.824734,1937.5829721,FALSE_POSITIVE
6.261169,2.0369188,1.3468319,3145.0,0.211257,4005.022808,FALSE_POSITIVE
14.8559691,3.711,2.72638,5544.0,0.86,1127.0,CANDIDATE
14.4751062,1.6182484,8.6976173,3841.0,0.55035,9618.5798534,CONFIRMED
9.6141636,3.4271882,3.2264735,5477.0,0.840608,933.6532689,CONFIRMED
4.9404714,1.954,2.3216,6086.0,1.13,455.0,CONFIRMED
9.6926392,3.0182304,3.289074,4665.0,0.746003,1838.2370548,CANDIDATE
6.390888,3.766,2.47201,6191.0,1.32,435.0,CANDIDATE
0.9689927,2.5496309,17.1331258,6430.0,1.41398,13532.9710157,CONFIRMED
10.338505,4.242,11.8729,5336.96,0.84,18162.0,CONFIRMED
1.283251,2.012261,2.558112,3855.0,0.560391,1961.318203,FALSE_POSITIVE
1.2284388,1.9190118,1.866263,3526.0,0.53023,1229.4965125,FALSE_POSITIVE
0.6166953,0.712,10.4852,6588.0,1.57,1089.0,CANDIDATE
9.6001126,4.9882857,2.4070295,5891.0,1.2103699,380.4193796,CANDIDATE
2.6998294,2.208,4.94551,6180.0,0.92,2798.0,CONFIRMED
0.581322,1.3261177,2.2014886,3446.0,0.38621,3206.6010016,FALSE_POSITIVE
0.980972,0.5405036,5.9162923,4486.0,0.764401,6178.392421,CONFIRMED
5.3987355,3.127,2.25345,5875.23,1.26,352.0,CONFIRMED
7.16199,7.668,5.05452,6229.0,1.81,800.0,CANDIDATE
1.4412175,1.666,17.0442,5672.9,1.46,12927.0,FALSE_POSITIVE
1.6849938,0.916,3.76716,5923.0,1.11,990.0,CANDIDATE
3.9152737,2.562,9.43435,5714.0,1.58,3350.0,CONFIRMED
3.1968838,3.7533697,14.9685779,6470.0,1.59715,7958.980656,CONFIRMED
3.9443668,4.8652146,14.5727196,5494.0,1.75475,6732.488454,CONFIRMED
3.93034,3.667,14.8838,6292.0,1.37,9724.58,FALSE_POSITIVE
4.5371361,4.042155,9.8153513,5731.0,1.48668,4199.7558754,CONFIRMED
14.3392144,4.6064739,2.2963233,6295.7,1.1374201,392.6346872,CONFIRMED
2.8716983,4.668,18.1267,6840.0,1.91,8568.0,CONFIRMED
6.0964074,2.3632965,2.5856853,4820.4,0.731699,1142.4891745,CONFIRMED
5.6666168,3.604,14.8589,6530.0,1.47,9780.0,CANDIDATE
1.56029,2.751,18.4825,6897.0,2.29,1690.0,FALSE_POSITIVE
8.8735214,4.059,6.0401,5992.0,1.18,1949.0,FALSE_POSITIVE
7.6869063,4.652,23.7824,5147.3,3.07,4500.0,FALSE_POSITIVE
1.3797091,2.352,22.2329,5924.0,2.67,1320.0,FALSE_POSITIVE
6.2407826,1.513,16.0959,4174.0,0.9,6114.0,CANDIDATE
2.6796,2.771,11.8862,5938.0,1.32,7590.0,FALSE_POSITIVE
6.1406417,2.3525428,26.5174686,8298.0,1.87493,9437.1831553,CANDIDATE
11.0765063,4.692,12.8076,6460.0,1.86,4400.0,FALSE_POSITIVE
0.6193401,1.514,8.84136,7812.5,1.79,1853.0,FALSE_POSITIVE
2.6400663,3.368,18.2671,5155.0,2.72,1328.0,FALSE_POSITIVE
2.5778717,3.472,18.687,8321.0,3.16,1010.0,FALSE_POSITIVE
3.80509,3.347,8.57193,6555.5,2.35,1280.0,FALSE_POSITIVE
2.99041,3.952,24.2511,8542.0,3.56,1290.0,FALSE_POSITIVE
0.890967,1.784,2.89678,5159.2,0.87,1100.0,FALSE_POSITIVE
2.1096805,2.1344043,3.6396725,5673.0,0.940806,1309.7297126,CONFIRMED
1.19888,1.558,20.5525,7315.0,5.46,1169.03,FALSE_POSITIVE
2.03905,2.26,6.42307,9003.0,2.68,430.0,FALSE_POSITIVE
2.9424142,4.073,9.70968,6854.0,1.79,1400.0,FALSE_POSITIVE
